URL,Код ответа,Кол-во товаров
https://www.kravtel.ru/catalog/plastikovaya_i_metallicheskaya_tara/,200,50
https://www.kravtel.ru/catalog/utilizatciya-musora2/,200,50
https://www.kravtel.ru/catalog/plastikovye_musornye_konteynery/,200,21
https://www.kravtel.ru/catalog/musornye_baki_60_80_l/,200,3
https://www.kravtel.ru/catalog/musornye_konteynery_na_2kh_kolesakh/,200,7
https://www.kravtel.ru/catalog/musornye-evrokontejnery-na-4-h-kolesah-660-1100-l/,200,12
https://www.kravtel.ru/catalog/metallicheskie_musornye_konteynery/,200,19
https://www.kravtel.ru/catalog/dvukhkolyesnye_konteynery_120_240_l/,200,2
https://www.kravtel.ru/catalog/chetyryekhkolyesnye_konteynery_dlya_tbo_400_1100/,200,4
https://www.kravtel.ru/catalog/urni/,200,50
https://www.kravtel.ru/catalog/urny_dlya_pomeshcheniy/,200,19
https://www.kravtel.ru/catalog/urny_razdelnogo_sbora/,200,10
https://www.kravtel.ru/catalog/urny_ulichnye/,200,11
https://www.kravtel.ru/catalog/urny_fudkorta/,200,3
https://www.kravtel.ru/catalog/urny_pepelnitsy/,200,17
https://www.kravtel.ru/catalog/komplektuyushchie/,200,10
https://www.kravtel.ru/catalog/musornye-kontejnery-60-360-l/,200,21
https://www.kravtel.ru/catalog/konteynery_dlya_razdelnogo_sbora_musora/,200,14
https://www.kravtel.ru/catalog/konteynery_dlya_tko/,200,9
https://www.kravtel.ru/catalog/Poluotkrytye-kontejnery-s-zagruzkoj-speredi2/,200,50
https://www.kravtel.ru/catalog/Plastikovye-lotki/,200,9
https://www.kravtel.ru/catalog/peregorodki/,200,10
https://www.kravtel.ru/catalog/nastennye_paneli_stoyki/,200,50
https://www.kravtel.ru/catalog/polochnye_konteynery_rk_i_sk/,200,50
https://www.kravtel.ru/catalog/polochnye_konteynery_sk/,200,19
https://www.kravtel.ru/catalog/Polochnye-kontejnery-RK3/,200,34
https://www.kravtel.ru/catalog/frontalnye_paneli/,200,4
https://www.kravtel.ru/catalog/poperechnye_razdeliteli/,200,17
